country,year,population,energy_use,emissions,renewable_pct,mean_temp,gdp
Rwanda,1995,5674118.0,1047.1326837220074,0.08,,19.9635,227.9711478493178
Samoa,1995,174571.0,,0.63,,27.037333333333336,1288.104733214013
San Marino,1995,25158.0,,,,14.331083333333334,
Saudi Arabia,1995,13289245.0,6316.713169641104,20.664,0.0,25.989166666666662,10786.4008952769
Senegal,1995,8848101.0,210.7828768925479,0.338,,28.556916666666663,714.994396357297
Serbia,1995,7628264.0,1782.1958792797418,4.991,0.0,10.276166666666668,2349.406451502889
Sierra Leone,1995,4179179.0,,0.053,,26.578166666666664,208.35199725095467
Singapore,1995,3524506.0,5346.987801828682,11.474,1.111,27.0725,24914.850702035776
Slovak Republic,1995,5361999.0,3315.205717325088,,,,4882.511582382283
Slovenia,1995,1989872.0,3049.394075805529,7.724,0.0,10.289583333333336,10738.08876114678
Solomon Islands,1995,384733.0,,0.495,,27.2005,1220.1791931112582
"Somalia, Fed. Rep.",1995,7285007.0,,,,,210.67325461049228
South Africa,1995,44541554.0,2357.9734479486056,8.121,0.0,17.87075,3855.634087156698
South Sudan,1995,5225836.0,,0.066,,,
Spain,1995,39724050.0,2537.0165497921284,6.618,0.612,15.072166666666666,15460.911026665251
Sri Lanka,1995,17564068.0,341.9342367672928,0.325,0.0,27.5875,741.8382552934553
Sudan,1995,24672143.0,485.6117851208669,0.161,,27.498833333333334,462.585235595703
Suriname,1995,429606.0,,4.798,,27.045333333333332,1609.8250437320628
Sweden,1995,8826939.0,5701.870279668909,6.74,1.585,3.0660000000000003,30254.29729326311
Switzerland,1995,7040687.0,3405.684780727492,6.166,0.913,7.751916666666666,50113.83212213449
Syrian Arab Republic,1995,14616801.0,827.6007791083904,,,,779.6991001537441
Tajikistan,1995,5948584.0,374.0333750071412,0.409,,4.808666666666666,207.0344573430356
Tanzania,1995,30383497.0,362.1101776948025,0.08,,23.006416666666667,258.418334960938
Thailand,1995,59098232.0,1052.2802114770184,2.6,0.179,26.529916666666665,2864.36515719866
Togo,1995,4410832.0,355.14721431719,0.266,,27.311333333333334,419.2203348927564
Tonga,1995,100225.0,,0.95,,23.890083333333333,2084.0275953971764
Tunisia,1995,9161258.0,633.6472796632744,1.815,,20.68316666666667,1968.1660094437248
Turkiye,1995,61024503.0,997.9675363333382,,,,2774.616272028474
Turkmenistan,1995,4191203.0,3267.4713014764493,8.248,0.0,16.52091666666667,592.2472473211318
Uganda,1995,20665667.0,398.1368444107862,0.045,,23.571583333333333,278.52083566876684
Ukraine,1995,51665539.0,3168.700526228537,7.552,0.0,8.709083333333334,933.191772460938
United Arab Emirates,1995,2434662.0,11360.901470911322,29.932,0.0,27.98633333333333,27003.20068077823
United Kingdom,1995,58019030.0,3729.552932373344,9.735,0.486,9.419583333333334,23168.95295801709
United States,1995,266278000.0,7760.890352661917,20.23,1.773,9.331,28690.87570133469
Uruguay,1995,3189440.0,805.4563843045801,1.431,,17.66475,6050.486322536444
Uzbekistan,1995,22917589.0,1713.580685204373,4.573,0.0,13.971333333333334,582.5421367403402
