country_code,country_name,year,Electricity production from hydroelectric sources (% of total),Energy use (kg of oil equivalent per capita),Forest area (% of land area),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population growth (annual %),"Population, total",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Trade (% of GDP),Urban population (% of total population)
MEX,Mexico,2008,14.5532723883645,1678.23287321257,34.584695079606,82.90684452023115,0.943331872912935,10523.7685427665,20.4969000798536,1.46015632826518,110374288.0,17.5374395686819,9.8,56.3652818731773,77.222
MEX,Mexico,2009,9.97822620101362,1616.79369985205,34.510719925924,86.5486155630323,-6.29525056697287,8423.56933214711,19.8889190384594,1.4619172053372,111999721.0,12.9470743558429,9.2,54.5917421313503,77.52
MEX,Mexico,2010,13.4755041972584,1581.82622504404,34.4367447722421,84.61925006619465,4.97133457799899,9728.80078237782,19.6596319675283,1.43974472572946,113623895.0,16.6020244105147,9.4,59.2733845378721,77.815
MEX,Mexico,2011,11.9722938804092,1632.53833582198,34.3737390364979,85.01849844286414,3.44404506308874,10664.4944046282,22.4736336205905,1.41534883852036,115243504.0,14.8882176324282,9.1,62.1623872683072,78.111
MEX,Mexico,2012,10.3773431371592,1652.16322037583,34.3107333007536,86.8585170279469,3.55321075512755,10744.1335229686,20.1560213023659,1.35716327923769,116818208.0,13.7854387797947,9.0,64.2579318977864,78.405
MEX,Mexico,2013,9.4179769612377,1633.00512016612,34.2477275650094,86.35628999591904,0.852101550164704,11216.800851866,20.8739317391487,1.29730808025224,118343573.0,13.2974152863029,9.2,62.6916747661852,78.699
MEX,Mexico,2014,12.8997164132075,1582.66666115179,34.1847218292652,84.3692728899553,2.50376349862891,11391.3773510244,19.667850241261,1.21002702971431,119784261.0,17.5321613957114,9.8,64.0984090280535,78.993
MEX,Mexico,2015,9.91642718996483,1539.13826670827,34.1217160935209,85.94000119069835,2.70232344844723,10021.2386124039,19.4864853369113,1.06956376155677,121072306.0,15.2646075424702,9.2,70.4129746726021,79.285
MEX,Mexico,2016,9.38607622631602,1525.3837445098,34.0559942385349,40.75363659663315,1.77249323400358,9097.92397674769,18.8449182383899,0.969124204799117,122251351.0,15.2957004707103,9.2,75.6903034088551,79.577
MEX,Mexico,2017,10.0622419462506,1478.43896510686,33.9902672393837,40.1083516700868,1.87172854186539,9649.27816772402,18.3002285485373,0.935239396499786,123400057.0,15.9609952530472,10.1,76.9521260407254,79.867
MEX,Mexico,2018,9.23472661506925,1493.47882156246,33.9247408626765,39.36725967735525,1.97208207701884,10084.7937553679,16.652186272493,0.9466023549862,124573711.0,15.907939491332,10.3,80.2126616635331,80.156
MEX,Mexico,2019,7.00352602464982,1469.65350320528,33.858895547725,38.9900689030505,-0.392690505099296,10369.5553585271,14.7051077997851,0.950144329831411,125762982.0,16.8771361269016,10.3,77.4619722571128,80.444
MEX,Mexico,2020,8.16304367499864,1366.42722558757,33.7930502327735,36.69010600493525,-8.35403456576364,8841.2707511328,14.9923440243315,0.820454117563552,126799054.0,20.7528854217573,12.3,76.8545556992201,80.731
MEX,Mexico,2021,10.4302698453815,1417.70559078908,33.727204917822,34.99980646640405,6.04848345704632,10314.0506725979,,0.66740537533078,127648148.0,24.3857273439152,13.0,83.0692976326771,81.016
